MonitorId,Parameter,Description,UOMId,SamplingDurationMinutes,SamplingFrequencySeconds,computeQuality,UDL,useUDL,LDL,useLDL,MDL,useMDL,PersistCount,usePCount,PersistThresh,useAdj,usePThresh,Anom1Thresh,useA1Check,Anom2Thresh,useA2Check,Anom3Thresh,useA3Check,Anom4Thresh,useA4Check,Anom7Thresh,useA7Check,PersistWindowSize,Anom1WindowSize,Anom2WindowSize,Anom3WindowSize,Anom4WindowSize,Thresh1,Thresh2,Thresh3,Thresh4,WindowSize1,WindowSize2,WindowSize3,WindowSize4,PerformCheck1,PerformCheck2,PerformCheck3,PerformCheck4,PerformCheck5,PerformCheck6,PerformCheck7,StreamSegmentId
10,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27566
10,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27567
2,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27598
2,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27599
20,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27606
20,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27607
23,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27614
23,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27615
24,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27622
24,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27623
25,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27630
25,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27631
26,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27638
26,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27639
27,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27646
27,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27647
28,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27654
28,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27655
29,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27662
29,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27663
32,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27670
32,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27671
33,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27678
33,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27679
35,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27686
35,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27687
36,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27694
36,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27695
37,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27702
37,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27703
38,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27710
38,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27711
39,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27718
39,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27719
40,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27726
40,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27727
41,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27734
41,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27735
43,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27742
43,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27743
44,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27750
44,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27751
45,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27758
45,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27759
46,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27766
46,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27767
47,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27774
47,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27775
48,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27782
48,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27783
49,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27790
49,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27791
50,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27798
50,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27799
51,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27806
51,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27807
52,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27814
52,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27815
53,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27822
53,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27823
54,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27830
54,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27831
55,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27838
55,85101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27839
56,88101,,105,5,2,1,500,1,0,1,0,0,24,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,12,3,4,9,5,,,,,,,,,,,1,,,,,27846
