MonitorId,Parameter,Description,UOMId,SamplingDurationMinutes,SamplingFrequencySeconds,computeQuality,UDL,useUDL,LDL,useLDL,MDL,useMDL,PersistCount,usePCount,PersistThresh,useAdj,usePThresh,Anom1Thresh,useA1Check,Anom2Thresh,useA2Check,Anom3Thresh,useA3Check,Anom4Thresh,useA4Check,Anom7Thresh,useA7Check,PersistWindowSize,Anom1WindowSize,Anom2WindowSize,Anom3WindowSize,Anom4WindowSize,Thresh1,Thresh2,Thresh3,Thresh4,WindowSize1,WindowSize2,WindowSize3,WindowSize4,PerformCheck1,PerformCheck2,PerformCheck3,PerformCheck4,PerformCheck5,PerformCheck6,PerformCheck7
A0QKRQ9J,43104,check4,8,15,20,1,60000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,,,
A0QKRQ9J,85101,check2,105,15,20,1,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,,,
A0QKRQ9J,88101,check3,105,15,20,1,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,,,
A0TTHZ0D,43104,check4,8,15,20,1,60000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,,,
A0TTHZ0D,85101,check2,105,15,20,1,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,,,
A0TTHZ0D,88101,check3,105,15,20,1,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,,,
A4S5VNWR,43104,check4,8,15,20,1,60000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,,,
A4S5VNWR,85101,check2,105,15,20,1,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,,,
A4S5VNWR,88101,check3,105,15,20,1,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,,,
A7BJQN7W,43104,check4,8,15,20,1,60000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,,,
A7BJQN7W,85101,check2,105,15,20,1,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,,,
A7BJQN7W,88101,check3,105,15,20,1,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,,,
