MonitorId,Parameter,Description,UOMId,SamplingDurationMinutes,SamplingFrequencySeconds,computeQuality,UDL,useUDL,LDL,useLDL,MDL,useMDL,PersistCount,usePCount,PersistThresh,useAdj,usePThresh,Anom1Thresh,useA1Check,Anom2Thresh,useA2Check,Anom3Thresh,useA3Check,Anom4Thresh,useA4Check,Anom7Thresh,useA7Check,PersistWindowSize,Anom1WindowSize,Anom2WindowSize,Anom3WindowSize,Anom4WindowSize,Thresh1,Thresh2,Thresh3,Thresh4,WindowSize1,WindowSize2,WindowSize3,WindowSize4,PerformCheck1,PerformCheck2,PerformCheck3,PerformCheck4,StreamSegmentId
CO-E000360,42101,5084,7,60,60,1,50,1,0,1,0.05,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,585
NO-0016730,42601,5084,7,60,60,1,50,1,0,1,0.02,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,587
NO-0016730,42602,5084,7,60,60,1,50,1,0,1,0.02,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,588
NO-0016730,42603,5097,8,60,60,1,1000,1,0,1,0.05,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,589
O3-CELA,44201,5097,8,60,60,1,1000,1,0,1,0.05,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,590
P2.5B-CELA,88502,5101,8,60,60,1,1000,1,0,1,0.2,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,591
PM-E000433,85101,5101,8,60,60,1,1000,1,0,1,0.4,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,592
SO-0016746,42401,5101,7,60,60,1,1,1,0,1,0.0005,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,593
T500U-213,42602,5101,8,60,60,1,1000,1,0,1,0.4,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,594
AE33-629,88313,5101,8,60,60,1,1000,1,0,1,0.4,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,606
Picarro-1,43201,5102,8,60,60,1,1000,1,0,1,0.4,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,608
M651-3501,87101,5102,8,60,60,1,1000,1,0,1,0.04,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,607
