StreamSegmentId,MonitorId,Parameter,Description,UOMId,SamplingDurationMinutes,SamplingFrequencySeconds,UDL,useUDL,LDL,useLDL,MDL,useMDL,PersistCount,usePCount,PersistThresh,usePThresh,Anom1Thresh,useA1Check,Anom2Thresh,useA2Check,Anom3Thresh,useA3Check,Anom4Thresh,useA4Check,PersistWindowSize,Anom1WindowSize,Anom2WindowSize,Anom3WindowSize,Anom4WindowSize,Thresh1,Thresh2,Thresh3,Thresh4,WindowSize1,WindowSize2,WindowSize3,WindowSize4,PerformCheck1,PerformCheck2,PerformCheck3,PerformCheck4,PerformCheck5,PerformCheck6,PerformCheck7
1,AJTBXPRR,42602,check1,8,15,20,3000,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
2,AJTBXPRR,85101,check2,105,15,20,1000,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
6,AJTBXPRR,88101,check3,105,15,20,500,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
10,AJTBXPRR,43104,check4,8,15,20,60000,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
11,AH7T3YZZ,42602,check1,8,15,20,3000,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
12,AH7T3YZZ,85101,check2,105,15,20,1000,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
16,AH7T3YZZ,88101,check3,105,15,20,500,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
20,AH7T3YZZ,43104,check4,8,15,20,60000,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
21,A4S5VNWR,42602,check1,8,15,20,3000,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
22,A4S5VNWR,85101,check2,105,15,20,1000,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
26,A4S5VNWR,88101,check3,105,15,20,500,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
30,A4S5VNWR,43104,check4,8,15,20,60000,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
31,AC9YFK88,42602,check1,8,15,20,3000,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
32,AC9YFK88,85101,check2,105,15,20,1000,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
36,AC9YFK88,88101,check3,105,15,20,500,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
40,AC9YFK88,43104,check4,8,15,20,60000,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
41,AWG9PZHP,42602,check1,8,15,20,3000,1,0,1,0,0,3,0,0.001,0,1000,1,33,1,4,0,4,1,5,5,5,5,5,,,,,,,,,,,1,,,,
