StreamId,MonitorId,Parameter,StartDateTime,AObs,BObs,CObs,AObsAdj,BObsAdj,CObsAdj,UOM,AdjCode
1,AGW9HQ1Y,42602,5/26/2020 11:01,-14.5469429,,,0,,,8,claritycal
2,AGW9HQ1Y,85101,5/26/2020 11:01,8.428571701,,,,,,105,
3,AGW9HQ1Y,88101,5/26/2020 11:01,6.714286327,,,3.770428912,,,105,claritycal
4,AGW9HQ1Y,43104,5/26/2020 11:01,946,,,,,,7,
5,AYR1L2NW,42602,5/26/2020 11:01,4.205181122,,,1.110401122,,,8,claritycal
6,AYR1L2NW,85101,5/26/2020 11:01,5.117647171,,,,,,105,
7,AYR1L2NW,88101,5/26/2020 11:01,3.705882311,,,2.100764683,,,105,claritycal
8,AYR1L2NW,43104,5/26/2020 11:01,695,,,,,,7,
9,ADFXTVFH,85101,5/26/2020 11:01,2.697674274,,,,,,105,
10,ADFXTVFH,88101,5/26/2020 11:01,0.837209225,,,0.50865112,,,105,claritycal
1,AGW9HQ1Y,42602,5/26/2020 10:44,-11.30831584,,,0,,,8,claritycal
2,AGW9HQ1Y,85101,5/26/2020 10:44,7.941176414,,,,,,105,
3,AGW9HQ1Y,88101,5/26/2020 10:44,6.470588207,,,3.635176455,,,105,claritycal
4,AGW9HQ1Y,43104,5/26/2020 10:44,890,,,,,,7,
5,AYR1L2NW,42602,5/26/2020 10:44,2.590646744,,,0,,,8,claritycal
6,AYR1L2NW,85101,5/26/2020 10:44,4.476190567,,,,,,105,
7,AYR1L2NW,88101,5/26/2020 10:44,3.285714388,,,1.867571485,,,105,claritycal
8,AYR1L2NW,43104,5/26/2020 10:44,690,,,,,,7,
9,ADFXTVFH,85101,5/26/2020 10:44,4.23255825,,,,,,105,
10,ADFXTVFH,88101,5/26/2020 10:44,1.534883618,,,0.895860408,,,105,claritycal
1,AGW9HQ1Y,42602,5/26/2020 10:27,-17.17553046,,,0,,,8,claritycal
2,AGW9HQ1Y,85101,5/26/2020 10:27,6.705882549,,,,,,105,
3,AGW9HQ1Y,88101,5/26/2020 10:27,5.470588207,,,3.080176455,,,105,claritycal
4,AGW9HQ1Y,43104,5/26/2020 10:27,848,,,,,,7,
5,AYR1L2NW,42602,5/26/2020 10:27,5.561882973,,,2.467102973,,,8,claritycal
6,AYR1L2NW,85101,5/26/2020 10:27,4.761905193,,,,,,105,
7,AYR1L2NW,88101,5/26/2020 10:27,4.285714626,,,2.422571618,,,105,claritycal
8,AYR1L2NW,43104,5/26/2020 10:27,654,,,,,,7,
9,ADFXTVFH,85101,5/26/2020 10:27,3.465116024,,,,,,105,
10,ADFXTVFH,88101,5/26/2020 10:27,2.069767237,,,1.192720816,,,105,claritycal
1,AGW9HQ1Y,42602,5/26/2020 10:11,-18.16711757,,,0,,,8,claritycal
2,AGW9HQ1Y,85101,5/26/2020 10:11,7.666666985,,,,,,105,
3,AGW9HQ1Y,88101,5/26/2020 10:11,6.000000477,,,3.374000265,,,105,claritycal
4,AGW9HQ1Y,43104,5/26/2020 10:11,754,,,,,,7,
5,AYR1L2NW,42602,5/26/2020 10:10,4.867448807,,,1.772668807,,,8,claritycal
6,AYR1L2NW,85101,5/26/2020 10:10,5,,,,,,105,
7,AYR1L2NW,88101,5/26/2020 10:10,4.529411793,,,2.557823545,,,105,claritycal
8,AYR1L2NW,43104,5/26/2020 10:10,605,,,,,,7,
9,ADFXTVFH,85101,5/26/2020 10:09,3.697674274,,,,,,105,
10,ADFXTVFH,88101,5/26/2020 10:09,1.069767356,,,0.637720883,,,105,claritycal
